product_id,product_name,category,subcategory,brand,price,original_price,discount_percent,stock,rating,review_count,sales_count,view_count,cart_add_count,wishlist_count,return_rate,seller_count,shipping_days,is_original,color,weight_grams,demand_score,popularity_score,target_sales_next_7_days
10001,Apple Inspiron 5,Laptop,Laptop,Apple,48270880,49256000,2,6,4.0,618,1051,215447,8231,1301,0.017,18,2,1,Green,2002,22.7,25.1,71
10002,Puma Plus,Fashion,Jacket,Puma,2496740,4027000,38,44,3.6,2134,6985,706389,25356,12407,0.078,15,5,1,Green,695,64.1,55.6,495
10003,Apple ThinkPad 34,Laptop,Laptop,Apple,34758000,57930000,40,546,4.3,8575,19777,1794231,89644,31881,0.021,3,5,1,Silver,1769,97.2,81.1,1968
10004,Canon Alpha,Camera,Mirrorless Camera,Canon,83438480,90694000,8,101,4.5,572,913,139307,9314,4969,0.032,15,2,1,Silver,1449,24.8,28.6,40
10005,Crucial 990 Pro 34,Digital Products,SSD,Crucial,2682030,3887000,31,566,3.9,1997,4731,321031,5937,5893,0.071,1,6,1,Blue,2836,37.8,34.0,280
10006,Secretlab Standard,Gaming,Gaming Chair,Secretlab,12883959,18947000,32,271,3.9,6524,6026,626384,26885,7492,0.009,1,5,1,Black,966,62.8,57.5,424
10007,Apple Pavilion 65,Laptop,Laptop,Apple,17733310,29071000,39,867,4.3,7547,17625,1117665,50562,15956,0.039,18,7,1,Silver,2376,93.5,78.3,1022
10008,LG Advanced,Home Appliances,Washing Machine,LG,10971020,12757000,14,4,4.1,3808,2563,483085,7437,14383,0.04,11,1,1,Blue,4026,36.3,44.8,195
10009,Springer Pro,Books,Science Book,Springer,815080,994000,18,173,4.0,6907,4390,743515,38688,29328,0.038,4,2,1,Gold,1198,57.2,66.1,170
10010,Apple VivoBook 65,Laptop,Laptop,Apple,13599080,21934000,38,480,4.5,18529,23353,1943232,54412,37357,0.06,6,4,1,Green,2186,100,98.4,1111
10011,Packt Advanced,Books,Programming Book,Packt,1229460,1983000,38,232,4.3,6240,19473,1215129,21578,26353,0.048,17,1,1,White,4924,86.5,81.7,1190
10012,Apple Premium,Mobile,Smartwatch,Apple,72695900,76522000,5,307,4.2,2212,3487,547365,29771,7309,0.041,15,3,0,White,126,43.5,50.6,209
10013,Microsoft PlayStation 5,Gaming,Game Console,Microsoft,34426740,37018000,7,283,3.9,1664,2355,331319,22898,11015,0.05,10,6,1,Gray,2216,29.6,33.1,99
10014,Nikon D,Camera,DSLR Camera,Nikon,48727139,73829000,34,267,4.5,4451,13079,1774908,88542,60395,0.046,9,2,1,Green,1448,82.7,75.2,1332
10015,Nikon EOS,Camera,DSLR Camera,Nikon,18016750,18965000,5,1146,5,4523,16566,1885800,65398,54447,0.06,14,5,1,Silver,632,87.3,83.1,978
10016,Canon Advanced,Camera,Camera Lens,Canon,36801680,49732000,26,179,3.9,1323,1691,227192,3891,4878,0.078,10,7,1,Silver,1876,27.5,26.6,77
10017,8BitDo Pro Controller,Gaming,Game Controller,8BitDo,71517900,75282000,5,20,5.0,221,279,58382,3966,834,0.064,14,5,0,White,3205,24.1,20.7,5
10018,Xiaomi Pro,Home Appliances,Vacuum Cleaner,Xiaomi,63090300,97062000,35,836,4.9,6718,13346,1307351,80586,39470,0.051,11,4,1,Gray,1621,88.7,86.5,1184
10019,Sony Xbox Wireless Controller,Gaming,Game Controller,Sony,41327820,42606000,3,695,3.9,10961,10242,1648355,64811,20570,0.02,3,3,1,Red,815,73.8,83.2,466
10020,Apple 16,Mobile,Smartphone,Apple,15790500,17545000,10,11,4.1,15424,14063,1858863,47761,54599,0.069,4,7,1,Gray,252,82.8,90.8,248
10021,Manning Standard,Books,Programming Book,Manning,4109080,4778000,14,651,4.3,20227,22188,1992877,127665,39729,0.011,16,4,1,Silver,2321,90.8,97.4,1146
10022,Microsoft Xbox Series X,Gaming,Game Console,Microsoft,31425679,46904000,33,52,3.9,573,2142,169483,4697,4963,0.006,11,5,1,Black,1744,37.0,24.7,183
10023,Nike Advanced,Fashion,Jacket,Nike,4097920,5392000,24,1117,4.8,13216,24544,1790310,99191,59071,0.075,14,4,1,Red,3362,95.6,93.4,2540
10024,Nike Pro,Fashion,Backpack,Nike,10037300,11030000,9,779,3.9,12032,10142,1818419,32305,33220,0.106,13,3,1,Green,2116,72.6,85.4,486
10025,LG Pro,Home Appliances,Refrigerator,LG,41138670,42411000,3,11,4.1,291,271,43239,920,1650,0.056,6,5,1,White,1391,20.1,16.1,4
10026,Adidas Pro,Fashion,Jacket,Adidas,8160000,10200000,20,2318,4.1,5827,13740,1315922,70198,20469,0.043,2,3,1,Red,614,82.0,74.2,1124
10027,Canon Premium,Camera,Camera Lens,Canon,41713210,54173000,23,502,4.2,10073,15602,1364608,56757,27626,0.029,3,3,1,Silver,3856,86.4,84.9,642
10028,No Starch Press Advanced,Books,Programming Book,No Starch Press,2868480,2988000,4,368,4.9,11271,12742,1250727,37765,6698,0.022,14,4,1,Silver,3950,76.1,80.8,703
10029,Bosch Premium,Home Appliances,Vacuum Cleaner,Bosch,72638720,82544000,12,646,4.7,4926,5953,892846,35674,14046,0.044,4,6,1,Gray,1619,61.6,69.7,460
10030,Sony Xbox Series X,Gaming,Game Console,Sony,32727040,34816000,6,714,4.3,1358,6300,634401,28153,9262,0.019,5,6,1,Gold,890,54.6,51.1,268
10031,Lenovo Pro,Mobile,Tablet,Lenovo,15238880,16564000,8,35,3.8,548,728,155861,9291,5956,0.037,14,5,1,Silver,4330,21.4,28.2,24
10032,Apple Plus,Mobile,Smartwatch,Apple,34232640,35659000,4,76,4.1,609,688,170762,4193,1302,0.064,16,3,1,Blue,2366,23.5,24.9,43
10033,LG Standard,Home Appliances,Air Conditioner,LG,32756780,39466000,17,3597,4.3,4947,21238,1905576,111656,49214,0.037,4,4,1,Green,2280,89.3,78.3,405
10034,GoPro HERO,Camera,Action Camera,GoPro,42166820,68011000,38,4720,4.5,18597,25925,1753632,82932,10041,0.053,2,7,1,Gold,4301,99.3,92.9,967
10035,Manning Advanced,Books,Programming Book,Manning,3367750,3545000,5,75,4.5,8598,9380,1405871,59399,39632,0.054,15,1,1,Red,999,76.8,83.0,527
10036,Pearson Plus,Books,Science Book,Pearson,4180179,4447000,6,147,4.4,11084,9425,1586876,62383,10800,0.022,15,6,1,Black,2010,74.3,78.5,159
10037,ASUS Legion 15,Laptop,Gaming Laptop,ASUS,110950320,142244000,22,306,4.2,7286,7259,1067681,43745,22407,0.025,17,6,1,White,2231,76.4,81.2,332
10038,Xiaomi Standard,Mobile,Tablet,Xiaomi,49081039,72178000,32,659,4.0,6920,10470,936977,31840,22784,0.074,7,6,1,Green,1963,79.8,73.7,433
10039,Adidas Premium,Fashion,Jacket,Adidas,1083880,1106000,2,79,4.2,12939,4927,1238198,25363,45646,0.086,3,4,1,Blue,2823,60.8,87.2,92
10040,The North Face Standard,Fashion,Jacket,The North Face,924800,1088000,15,100,4.4,4096,5104,492848,32356,19669,0.046,4,4,1,Blue,287,44.4,53.8,178
10041,Adidas Plus,Fashion,Backpack,Adidas,3334320,3368000,1,1365,3.9,12744,12271,1826783,85993,23979,0.083,1,7,1,Blue,4527,69.0,84.1,419
10042,Samsonite Premium,Fashion,Backpack,Samsonite,13775040,14349000,4,358,4.7,8503,5228,807260,16844,14811,0.123,10,1,0,Green,2298,48.8,73.6,394
10043,Springer Standard,Books,Science Book,Springer,2993420,3086000,3,40,3.9,3676,2795,399235,20462,13710,0.015,10,7,1,Red,1126,30.3,41.1,134
10044,GoPro Osmo Action,Camera,Action Camera,GoPro,83274060,134313000,38,231,3.9,5863,9846,619456,20831,5594,0.055,13,7,1,Red,789,67.0,48.8,568
10045,Cougar Advanced,Gaming,Gaming Chair,Cougar,15552810,19201000,19,618,5,7532,6339,989258,64637,12610,0.034,14,1,1,Black,2543,79.6,75.1,237
10046,Tamron Plus,Camera,Camera Lens,Tamron,95742380,116759000,18,908,4.4,12055,9965,1748881,65489,66987,0.019,15,2,1,White,3059,77.9,91.5,401
10047,ASUS Legion 27,Laptop,Gaming Laptop,ASUS,89284340,103819000,14,27,4.6,538,497,45289,2639,551,0.018,8,3,1,Black,2235,25.4,18.5,12
10048,Samsung 14,Mobile,Smartphone,Samsung,33699960,39186000,14,30,4.4,125,231,33595,600,1040,0.07,15,7,1,White,207,20.1,23.2,5
10049,Sony DualSense,Gaming,Game Controller,Sony,47446700,67781000,30,140,4.1,9925,10302,894460,17032,7001,0.012,20,6,1,Red,3170,76.1,71.6,549
10050,ASUS XPS 10,Laptop,Ultrabook,ASUS,53054619,79186000,33,681,3.9,4679,6369,868329,34683,16984,0.053,9,3,0,Gold,1374,65.3,62.9,345
10051,Samsung KC3000 27,Digital Products,SSD,Samsung,8105200,8810000,8,1183,4.0,19573,14254,1832587,100166,71276,0.026,17,2,1,Gold,1887,81.3,94.3,575
10052,LG Standard,Home Appliances,Air Conditioner,LG,68318330,96223000,29,185,3.8,1285,7619,561378,16858,17786,0.033,5,5,1,White,1212,57.2,51.8,191
10053,Springer Advanced,Books,Science Book,Springer,2146560,2752000,22,226,4.7,17654,10426,1629642,38389,51179,0.056,14,4,1,Green,2287,75.2,96.0,388
10054,Vintage Advanced,Books,Novel,Vintage,554840,572000,3,592,4.1,3203,9997,1257375,32997,47888,0.055,11,1,1,Green,1489,63.8,75.7,289
10055,Fujifilm Alpha,Camera,Mirrorless Camera,Fujifilm,122352000,122352000,0,665,4.6,12159,10605,1932317,71965,52955,0.064,6,7,0,Gold,1041,67.9,91.4,329
10056,Puma Plus,Fashion,Jacket,Puma,4407440,5956000,26,186,4.4,1141,2192,160679,3417,3671,0.106,5,2,1,Blue,1666,28.7,24.7,132
10057,Cambridge Standard,Books,Science Book,Cambridge,1935959,2847000,32,151,4.1,8802,15391,1315870,65433,43254,0.051,10,4,1,Black,3070,91.9,79.0,1419
10058,Nike Premium,Fashion,Jacket,Nike,11978160,13768000,13,43,4.6,2061,2194,395266,16268,4063,0.062,3,5,1,Black,2079,40.6,44.0,118
10059,8BitDo Xbox Wireless Controller,Gaming,Game Controller,8BitDo,8659990,11863000,27,1231,4.1,10293,17660,1357997,49242,18767,0.058,11,1,1,Gray,2915,87.5,81.8,963
10060,HP Katana 27,Laptop,Gaming Laptop,HP,117575800,123764000,5,216,4.6,2336,2266,268502,16269,8285,0.08,17,3,1,Blue,1838,35.7,34.9,124
10061,Bose WH 16,Digital Products,Headphones,Bose,45161600,51320000,12,639,4.4,8317,11453,1549548,88551,14855,0.061,6,6,1,Green,366,78.8,75.8,473
10062,Packt Advanced,Books,Programming Book,Packt,2667719,4042000,34,195,4.2,2313,4462,407381,27332,16073,0.071,17,5,1,Gray,1685,53.7,40.5,182
10063,ASUS MacBook Air 7,Laptop,Ultrabook,ASUS,23244750,30993000,25,54,3.9,5903,6925,572584,11477,21109,0.012,14,1,1,Red,2065,50.9,52.4,212
10064,Canon EOS,Camera,DSLR Camera,Canon,54081950,83203000,35,20,4.4,8882,11073,991309,22436,29435,0.023,1,3,1,Gray,1423,83.8,84.0,650
10065,HP Pavilion 27,Laptop,Laptop,HP,104207880,124057000,16,27,4.9,1053,975,132216,2102,3046,0.044,1,5,1,Green,1867,28.6,24.6,69
10066,Lenovo Pro,Mobile,Tablet,Lenovo,35812490,58709000,39,106,4.8,5043,5340,532443,18443,3921,0.056,19,6,1,Gray,413,56.5,49.5,453
10067,Penguin Plus,Books,Novel,Penguin,558480,716000,22,3339,4.0,4825,24790,1979383,51406,12800,0.014,18,4,1,Silver,2393,88.8,73.5,1705
10068,Sigma Premium,Camera,Camera Lens,Sigma,102794640,109356000,6,434,4.4,2731,2907,392284,16618,14652,0.038,3,4,1,Gray,4518,34.1,40.4,96
10069,New Balance Suede,Fashion,Sneakers,New Balance,7825000,7825000,0,831,4.7,11588,7898,1825100,91566,59683,0.04,12,5,1,Gray,305,65.4,89.1,393
10070,DJI X,Camera,Action Camera,DJI,14180540,16489000,14,187,4.0,9258,7633,1424596,50435,29258,0.014,13,3,1,Silver,979,67.1,79.8,427
10071,Cougar Plus,Gaming,Gaming Chair,Cougar,33944800,42431000,20,1309,4.4,2824,13541,1030621,25246,30885,0.065,12,6,1,Blue,2507,81.2,77.8,1150
10072,Samsung Plus,Home Appliances,Refrigerator,Samsung,29951170,41029000,27,5,4.5,311,813,55621,2585,1188,0.029,3,3,1,Gold,4356,26.2,20.6,42
10073,Acer Nitro 9,Laptop,Gaming Laptop,Acer,25038279,36821000,32,4244,3.9,15840,22673,1636829,36168,36992,0.024,5,3,1,Red,2023,89.4,93.9,2083
10074,Nintendo Xbox Series X,Gaming,Game Console,Nintendo,74174760,74924000,1,1239,4.2,4957,9623,1344748,89813,13981,0.041,11,7,0,Black,282,65.8,76.2,501
10075,Nike Premium,Fashion,Backpack,Nike,9374250,10775000,13,225,4.7,13529,7669,1346677,70935,20752,0.108,14,4,1,Red,1226,71.7,89.4,580
10076,Logitech G Pro 5,Digital Products,Mouse,Logitech,30742600,31370000,2,254,4.2,4225,5563,943371,19173,14299,0.028,6,7,1,Red,1605,59.8,69.3,244
10077,Google 13 Pro,Mobile,Smartphone,Google,42116600,67930000,38,8,4.2,2174,6116,451690,21619,15583,0.047,4,4,1,Blue,243,53.3,44.3,123
10078,GoPro Osmo Action,Camera,Action Camera,GoPro,127570170,140187000,9,806,4.2,5534,6053,1153633,80062,33240,0.035,12,7,0,Red,1231,65.5,78.8,228
